id,identifier,type_id,power,pp,accuracy,priority,damage_class_id
117,bide,1,0,10,100,1,2
118,metronome,1,0,10,100,0,1
119,mirror-move,3,0,20,100,0,1
120,self-destruct,1,200,5,100,0,2
121,egg-bomb,1,100,10,75,0,2
122,lick,8,30,30,100,0,2
123,smog,4,30,20,70,0,3
124,sludge,4,65,20,100,0,3
125,bone-club,5,65,20,85,0,2
126,fire-blast,10,110,5,85,0,3
127,waterfall,11,80,15,100,0,2
128,clamp,11,35,15,85,0,2
129,swift,1,60,20,100,0,3
130,skull-bash,1,130,10,100,0,2
131,spike-cannon,1,20,15,100,0,2
132,constrict,1,10,35,100,0,2
133,amnesia,14,0,20,100,0,1
134,kinesis,14,0,15,80,0,1
135,soft-boiled,1,0,10,100,0,1
136,high-jump-kick,2,130,10,90,0,2
137,glare,1,0,30,100,0,1
138,dream-eater,14,100,15,100,0,3
139,poison-gas,4,0,40,90,0,1
140,barrage,1,15,20,85,0,2
141,leech-life,7,80,10,100,0,2
142,lovely-kiss,1,0,10,75,0,1
143,sky-attack,3,140,5,90,0,2
144,transform,1,0,10,100,0,1
145,bubble,11,40,30,100,0,3
146,dizzy-punch,1,70,10,100,0,2
147,spore,12,0,15,100,0,1
148,flash,1,0,20,100,0,1
149,psywave,14,0,15,100,0,3
150,splash,1,0,40,100,0,1
151,acid-armor,4,0,20,100,0,1
152,crabhammer,11,100,10,90,0,2
153,explosion,1,250,5,100,0,2
154,fury-swipes,1,18,15,80,0,2
155,bonemerang,5,50,10,90,0,2
156,rest,14,0,10,100,0,1
157,rock-slide,6,75,10,90,0,2
158,hyper-fang,1,80,15,90,0,2
159,sharpen,1,0,30,100,0,1
160,conversion,1,0,30,100,0,1
161,tri-attack,1,80,10,100,0,3
162,super-fang,1,0,10,90,0,2
163,slash,1,70,20,100,0,2
164,substitute,1,0,10,100,0,1
165,struggle,1,50,1,100,0,2
166,sketch,1,0,1,100,0,1
167,triple-kick,2,10,10,90,0,2
168,thief,17,60,25,100,0,2
169,spider-web,7,0,10,100,0,1
170,mind-reader,1,0,5,100,0,1
171,nightmare,8,0,15,100,0,1
172,flame-wheel,10,60,25,100,0,2
173,snore,1,50,15,100,0,3
174,curse,8,0,10,100,0,1
175,flail,1,0,15,100,0,2
176,conversion-2,1,0,30,100,0,1
177,aeroblast,3,100,5,95,0,3
178,cotton-spore,12,0,40,100,0,1
179,reversal,2,0,15,100,0,2
180,spite,8,0,10,100,0,1
181,powder-snow,15,40,25,100,0,3
182,protect,1,0,10,100,4,1
183,mach-punch,2,40,30,100,1,2
184,scary-face,1,0,10,100,0,1
185,feint-attack,17,60,20,100,0,2
186,sweet-kiss,18,0,10,75,0,1
187,belly-drum,1,0,10,100,0,1
188,sludge-bomb,4,90,10,100,0,3
189,mud-slap,5,20,10,100,0,3
190,octazooka,11,65,10,85,0,3
191,spikes,5,0,20,100,0,1
192,zap-cannon,13,120,5,50,0,3
193,foresight,1,0,40,100,0,1
194,destiny-bond,8,0,5,100,0,1
195,perish-song,1,0,5,100,0,1
196,icy-wind,15,55,15,95,0,3
197,detect,2,0,5,100,4,1
198,bone-rush,5,25,10,90,0,2
199,lock-on,1,0,5,100,0,1
200,outrage,16,120,10,100,0,2
201,sandstorm,6,0,10,100,0,1
202,giga-drain,12,75,10,100,0,3
203,endure,1,0,10,100,4,1
204,charm,18,0,20,100,0,1
205,rollout,6,30,20,90,0,2
206,false-swipe,1,40,40,100,0,2
207,swagger,1,0,15,85,0,1
208,milk-drink,1,0,10,100,0,1
209,spark,13,65,20,100,0,2
210,fury-cutter,7,40,20,95,0,2
211,steel-wing,9,70,25,90,0,2
212,mean-look,1,0,5,100,0,1
213,attract,1,0,15,100,0,1
214,sleep-talk,1,0,10,100,0,1
215,heal-bell,1,0,5,100,0,1
216,return,1,0,20,100,0,2
217,present,1,0,15,90,0,2
218,frustration,1,0,20,100,0,2
219,safeguard,1,0,25,100,0,1
220,pain-split,1,0,20,100,0,1
221,sacred-fire,10,100,5,95,0,2
222,magnitude,5,0,30,100,0,2
223,dynamic-punch,2,100,5,50,0,2
224,megahorn,7,120,10,85,0,2
225,dragon-breath,16,60,20,100,0,3
226,baton-pass,1,0,40,100,0,1
227,encore,1,0,5,100,0,1
228,pursuit,17,40,20,100,0,2
229,rapid-spin,1,50,40,100,0,2
230,sweet-scent,1,0,20,100,0,1
231,iron-tail,9,100,15,75,0,2
232,metal-claw,9,50,35,95,0,2
233,vital-throw,2,70,10,100,-1,2
234,morning-sun,1,0,5,100,0,1
235,synthesis,12,0,5,100,0,1
236,moonlight,18,0,5,100,0,1
237,hidden-power,1,60,15,100,0,3
238,cross-chop,2,100,5,80,0,2
239,twister,16,40,20,100,0,3
240,rain-dance,11,0,5,100,0,1
241,sunny-day,10,0,5,100,0,1
242,crunch,17,80,15,100,0,2
243,mirror-coat,14,0,20,100,-5,3
244,psych-up,1,0,10,100,0,1
245,extreme-speed,1,80,5,100,2,2
246,ancient-power,6,60,5,100,0,3
247,shadow-ball,8,80,15,100,0,3
248,future-sight,14,120,10,100,0,3
249,rock-smash,2,40,15,100,0,2
250,whirlpool,11,35,15,85,0,3
251,beat-up,17,0,10,100,0,2
252,fake-out,1,40,10,100,3,2
253,uproar,1,90,10,100,0,3
254,stockpile,1,0,20,100,0,1
255,spit-up,1,0,10,100,0,3
256,swallow,1,0,10,100,0,1
257,heat-wave,10,95,10,90,0,3
258,hail,15,0,10,100,0,1
259,torment,17,0,15,100,0,1
260,flatter,17,0,15,100,0,1
261,will-o-wisp,10,0,15,85,0,1
262,memento,17,0,10,100,0,1
263,facade,1,70,20,100,0,2
264,focus-punch,2,150,20,100,-3,2
265,smelling-salts,1,70,10,100,0,2
266,follow-me,1,0,20,100,2,1
267,nature-power,1,0,20,100,0,1
268,charge,13,0,20,100,0,1
269,taunt,17,0,20,100,0,1
270,helping-hand,1,0,20,100,5,1
271,trick,14,0,10,100,0,1
272,role-play,14,0,10,100,0,1
273,wish,1,0,10,100,0,1
274,assist,1,0,20,100,0,1
275,ingrain,12,0,20,100,0,1
276,superpower,2,120,5,100,0,2
277,magic-coat,14,0,15,100,4,1
278,recycle,1,0,10,100,0,1
279,revenge,2,60,10,100,-4,2
280,brick-break,2,75,15,100,0,2
281,yawn,1,0,10,100,0,1
282,knock-off,17,65,20,100,0,2
283,endeavor,1,0,5,100,0,2
284,eruption,10,150,5,100,0,3
285,skill-swap,14,0,10,100,0,1
286,imprison,14,0,10,100,0,1
287,refresh,1,0,20,100,0,1
288,grudge,8,0,5,100,0,1
289,snatch,17,0,10,100,4,1
290,secret-power,1,70,20,100,0,2
291,dive,11,80,10,100,0,2
292,arm-thrust,2,15,20,100,0,2
293,camouflage,1,0,20,100,0,1
294,tail-glow,7,0,20,100,0,1
295,luster-purge,14,70,5,100,0,3
296,mist-ball,14,70,5,100,0,3
297,feather-dance,3,0,15,100,0,1
298,teeter-dance,1,0,20,100,0,1
299,blaze-kick,10,85,10,90,0,2
300,mud-sport,5,0,15,100,0,1
301,ice-ball,15,30,20,90,0,2
302,needle-arm,12,60,15,100,0,2
303,slack-off,1,0,10,100,0,1
304,hyper-voice,1,90,10,100,0,3
305,poison-fang,4,50,15,100,0,2
306,crush-claw,1,75,10,95,0,2
307,blast-burn,10,150,5,90,0,3
308,hydro-cannon,11,150,5,90,0,3
309,meteor-mash,9,90,10,90,0,2
310,astonish,8,30,15,100,0,2
311,weather-ball,1,50,10,100,0,3
312,aromatherapy,12,0,5,100,0,1
313,fake-tears,17,0,20,100,0,1
314,air-cutter,3,60,25,95,0,3
315,overheat,10,130,5,90,0,3
316,odor-sleuth,1,0,40,100,0,1
317,rock-tomb,6,60,15,95,0,2
318,silver-wind,7,60,5,100,0,3
319,metal-sound,9,0,40,85,0,1
320,grass-whistle,12,0,15,55,0,1
321,tickle,1,0,20,100,0,1
322,cosmic-power,14,0,20,100,0,1
323,water-spout,11,150,5,100,0,3
324,signal-beam,7,75,15,100,0,3
325,shadow-punch,8,60,20,100,0,2
326,extrasensory,14,80,20,100,0,3
327,sky-uppercut,2,85,15,90,0,2
328,sand-tomb,5,35,15,85,0,2
329,sheer-cold,15,0,5,30,0,3
330,muddy-water,11,90,10,85,0,3
331,bullet-seed,12,25,30,100,0,2
332,aerial-ace,3,60,20,100,0,2
333,icicle-spear,15,25,30,100,0,2
334,iron-defense,9,0,15,100,0,1
335,block,1,0,5,100,0,1
336,howl,1,0,40,100,0,1
337,dragon-claw,16,80,15,100,0,2
338,frenzy-plant,12,150,5,90,0,3
339,bulk-up,2,0,20,100,0,1
340,bounce,3,85,5,85,0,2
341,mud-shot,5,55,15,95,0,3
342,poison-tail,4,50,25,100,0,2
343,covet,1,60,25,100,0,2
344,volt-tackle,13,120,15,100,0,2
345,magical-leaf,12,60,20,100,0,3
346,water-sport,11,0,15,100,0,1
347,calm-mind,14,0,20,100,0,1
348,leaf-blade,12,90,15,100,0,2
349,dragon-dance,16,0,20,100,0,1
350,rock-blast,6,25,10,90,0,2
351,shock-wave,13,60,20,100,0,3
352,water-pulse,11,60,20,100,0,3
353,doom-desire,9,140,5,100,0,3
354,psycho-boost,14,140,5,90,0,3
355,roost,3,0,10,100,0,1
356,gravity,14,0,5,100,0,1
357,miracle-eye,14,0,40,100,0,1
358,wake-up-slap,2,70,10,100,0,2
359,hammer-arm,2,100,10,90,0,2
360,gyro-ball,9,0,5,100,0,2
361,healing-wish,14,0,10,100,0,1
362,brine,11,65,10,100,0,3
363,natural-gift,1,0,15,100,0,2
364,feint,1,30,10,100,2,2
365,pluck,3,60,20,100,0,2
366,tailwind,3,0,15,100,0,1
367,acupressure,1,0,30,100,0,1
368,metal-burst,9,0,10,100,0,2
369,u-turn,7,70,20,100,0,2
370,close-combat,2,120,5,100,0,2
371,payback,17,50,10,100,0,2
372,assurance,17,60,10,100,0,2
373,embargo,17,0,15,100,0,1
374,fling,17,0,10,100,0,2
375,psycho-shift,14,0,10,100,0,1
376,trump-card,1,0,5,100,0,3
377,heal-block,14,0,15,100,0,1
378,wring-out,1,0,5,100,0,3
379,power-trick,14,0,10,100,0,1
380,gastro-acid,4,0,10,100,0,1
381,lucky-chant,1,0,30,100,0,1
382,me-first,1,0,20,100,0,1
383,copycat,1,0,20,100,0,1
384,power-swap,14,0,10,100,0,1
385,guard-swap,14,0,10,100,0,1
386,punishment,17,0,5,100,0,2
387,last-resort,1,140,5,100,0,2
388,worry-seed,12,0,10,100,0,1
389,sucker-punch,17,70,5,100,1,2
390,toxic-spikes,4,0,20,100,0,1
391,heart-swap,14,0,10,100,0,1
392,aqua-ring,11,0,20,100,0,1
393,magnet-rise,13,0,10,100,0,1
394,flare-blitz,10,120,15,100,0,2
395,force-palm,2,60,10,100,0,2
396,aura-sphere,2,80,20,100,0,3
397,rock-polish,6,0,20,100,0,1
398,poison-jab,4,80,20,100,0,2
399,dark-pulse,17,80,15,100,0,3
400,night-slash,17,70,15,100,0,2
401,aqua-tail,11,90,10,90,0,2
402,seed-bomb,12,80,15,100,0,2
403,air-slash,3,75,15,95,0,3
404,x-scissor,7,80,15,100,0,2
405,bug-buzz,7,90,10,100,0,3
406,dragon-pulse,16,85,10,100,0,3
407,dragon-rush,16,100,10,75,0,2
408,power-gem,6,80,20,100,0,3
409,drain-punch,2,75,10,100,0,2
410,vacuum-wave,2,40,30,100,1,3
411,focus-blast,2,120,5,70,0,3
412,energy-ball,12,90,10,100,0,3
413,brave-bird,3,120,15,100,0,2
414,earth-power,5,90,10,100,0,3
415,switcheroo,17,0,10,100,0,1
416,giga-impact,1,150,5,90,0,2
417,nasty-plot,17,0,20,100,0,1
418,bullet-punch,9,40,30,100,1,2
419,avalanche,15,60,10,100,-4,2
420,ice-shard,15,40,30,100,1,2
421,shadow-claw,8,70,15,100,0,2
422,thunder-fang,13,65,15,95,0,2
423,ice-fang,15,65,15,95,0,2
424,fire-fang,10,65,15,95,0,2
425,shadow-sneak,8,40,30,100,1,2
426,mud-bomb,5,65,10,85,0,3
427,psycho-cut,14,70,20,100,0,2
428,zen-headbutt,14,80,15,90,0,2
429,mirror-shot,9,65,10,85,0,3
430,flash-cannon,9,80,10,100,0,3
431,rock-climb,1,90,20,85,0,2
432,defog,3,0,15,100,0,1
433,trick-room,14,0,5,100,-7,1
434,draco-meteor,16,130,5,90,0,3
435,discharge,13,80,15,100,0,3
436,lava-plume,10,80,15,100,0,3
437,leaf-storm,12,130,5,90,0,3
438,power-whip,12,120,10,85,0,2
439,rock-wrecker,6,150,5,90,0,2
440,cross-poison,4,70,20,100,0,2
441,gunk-shot,4,120,5,80,0,2
442,iron-head,9,80,15,100,0,2
443,magnet-bomb,9,60,20,100,0,2
444,stone-edge,6,100,5,80,0,2
445,captivate,1,0,20,100,0,1
446,stealth-rock,6,0,20,100,0,1
447,grass-knot,12,0,20,100,0,3
448,chatter,3,65,20,100,0,3
449,judgment,1,100,10,100,0,3
450,bug-bite,7,60,20,100,0,2
451,charge-beam,13,50,10,90,0,3
452,wood-hammer,12,120,15,100,0,2
453,aqua-jet,11,40,20,100,1,2
454,attack-order,7,90,15,100,0,2
455,defend-order,7,0,10,100,0,1
456,heal-order,7,0,10,100,0,1
457,head-smash,6,150,5,80,0,2
458,double-hit,1,35,10,90,0,2
459,roar-of-time,16,150,5,90,0,3
460,spacial-rend,16,100,5,95,0,3
461,lunar-dance,14,0,10,100,0,1
462,crush-grip,1,0,5,100,0,2
463,magma-storm,10,100,5,75,0,3
464,dark-void,17,0,10,50,0,1
465,seed-flare,12,120,5,85,0,3
466,ominous-wind,8,60,5,100,0,3
467,shadow-force,8,120,5,100,0,2
468,hone-claws,17,0,15,100,0,1
469,wide-guard,6,0,10,100,3,1
470,guard-split,14,0,10,100,0,1
471,power-split,14,0,10,100,0,1
472,wonder-room,14,0,10,100,0,1
473,psyshock,14,80,10,100,0,3
474,venoshock,4,65,10,100,0,3
475,autotomize,9,0,15,100,0,1
476,rage-powder,7,0,20,100,2,1
477,telekinesis,14,0,15,100,0,1
478,magic-room,14,0,10,100,0,1
479,smack-down,6,50,15,100,0,2
480,storm-throw,2,60,10,100,0,2
481,flame-burst,10,70,15,100,0,3
482,sludge-wave,4,95,10,100,0,3
483,quiver-dance,7,0,20,100,0,1
484,heavy-slam,9,0,10,100,0,2
485,synchronoise,14,120,10,100,0,3
486,electro-ball,13,0,10,100,0,3
487,soak,11,0,20,100,0,1
488,flame-charge,10,50,20,100,0,2
489,coil,4,0,20,100,0,1
490,low-sweep,2,65,20,100,0,2
491,acid-spray,4,40,20,100,0,3
492,foul-play,17,95,15,100,0,2
493,simple-beam,1,0,15,100,0,1
494,entrainment,1,0,15,100,0,1
495,after-you,1,0,15,100,0,1
496,round,1,60,15,100,0,3
497,echoed-voice,1,40,15,100,0,3
498,chip-away,1,70,20,100,0,2
499,clear-smog,4,50,15,100,0,3
500,stored-power,14,20,10,100,0,3
501,quick-guard,2,0,15,100,3,1
502,ally-switch,14,0,15,100,2,1
503,scald,11,80,15,100,0,3
504,shell-smash,1,0,15,100,0,1
505,heal-pulse,14,0,10,100,0,1
506,hex,8,65,10,100,0,3
507,sky-drop,3,60,10,100,0,2
508,shift-gear,9,0,10,100,0,1
509,circle-throw,2,60,10,90,-6,2
510,incinerate,10,60,15,100,0,3
511,quash,17,0,15,100,0,1
512,acrobatics,3,55,15,100,0,2
513,reflect-type,1,0,15,100,0,1
514,retaliate,1,70,5,100,0,2
515,final-gambit,2,0,5,100,0,3
516,bestow,1,0,15,100,0,1
517,inferno,10,100,5,50,0,3
518,water-pledge,11,80,10,100,0,3
519,fire-pledge,10,80,10,100,0,3
520,grass-pledge,12,80,10,100,0,3
521,volt-switch,13,70,20,100,0,3
522,struggle-bug,7,50,20,100,0,3
523,bulldoze,5,60,20,100,0,2
524,frost-breath,15,60,10,90,0,3
525,dragon-tail,16,60,10,90,-6,2
526,work-up,1,0,30,100,0,1
527,electroweb,13,55,15,95,0,3
528,wild-charge,13,90,15,100,0,2
529,drill-run,5,80,10,95,0,2
530,dual-chop,16,40,15,90,0,2
531,heart-stamp,14,60,25,100,0,2
532,horn-leech,12,75,10,100,0,2
533,sacred-sword,2,90,15,100,0,2
534,razor-shell,11,75,10,95,0,2
535,heat-crash,10,0,10,100,0,2
536,leaf-tornado,12,65,10,90,0,3
537,steamroller,7,65,20,100,0,2
538,cotton-guard,12,0,10,100,0,1
539,night-daze,17,85,10,95,0,3
540,psystrike,14,100,10,100,0,3
541,tail-slap,1,25,10,85,0,2
542,hurricane,3,110,10,70,0,3
543,head-charge,1,120,15,100,0,2
544,gear-grind,9,50,15,85,0,2
545,searing-shot,10,100,5,100,0,3
546,techno-blast,1,120,5,100,0,3
547,relic-song,1,75,10,100,0,3
548,secret-sword,2,85,10,100,0,3
549,glaciate,15,65,10,95,0,3
550,bolt-strike,13,130,5,85,0,2
551,blue-flare,10,130,5,85,0,3
552,fiery-dance,10,80,10,100,0,3
553,freeze-shock,15,140,5,90,0,2
554,ice-burn,15,140,5,90,0,3
555,snarl,17,55,15,95,0,3
556,icicle-crash,15,85,10,90,0,2
557,v-create,10,180,5,95,0,2
558,fusion-flare,10,100,5,100,0,3
559,fusion-bolt,13,100,5,100,0,2
560,flying-press,2,100,10,95,0,2
561,mat-block,2,0,10,100,0,1
562,belch,4,120,10,90,0,3
563,rototiller,5,0,10,100,0,1
564,sticky-web,7,0,20,100,0,1
565,fell-stinger,7,50,25,100,0,2
566,phantom-force,8,90,10,100,0,2
567,trick-or-treat,8,0,20,100,0,1
568,noble-roar,1,0,30,100,0,1
569,ion-deluge,13,0,25,100,1,1
570,parabolic-charge,13,65,20,100,0,3
571,forests-curse,12,0,20,100,0,1
572,petal-blizzard,12,90,15,100,0,2
573,freeze-dry,15,70,20,100,0,3
574,disarming-voice,18,40,15,100,0,3
575,parting-shot,17,0,20,100,0,1
576,topsy-turvy,17,0,20,100,0,1
577,draining-kiss,18,50,10,100,0,3
578,crafty-shield,18,0,10,100,3,1
579,flower-shield,18,0,10,100,0,1
580,grassy-terrain,12,0,10,100,0,1
581,misty-terrain,18,0,10,100,0,1
582,electrify,13,0,20,100,0,1
583,play-rough,18,90,10,90,0,2
584,fairy-wind,18,40,30,100,0,3
585,moonblast,18,95,15,100,0,3
586,boomburst,1,140,10,100,0,3
587,fairy-lock,18,0,10,100,0,1
588,kings-shield,9,0,10,100,4,1
589,play-nice,1,0,20,100,0,1
590,confide,1,0,20,100,0,1
591,diamond-storm,6,100,5,95,0,2
592,steam-eruption,11,110,5,95,0,3
593,hyperspace-hole,14,80,5,100,0,3
594,water-shuriken,11,15,20,100,1,3
595,mystical-fire,10,75,10,100,0,3
596,spiky-shield,12,0,10,100,4,1
597,aromatic-mist,18,0,20,100,0,1
598,eerie-impulse,13,0,15,100,0,1
599,venom-drench,4,0,20,100,0,1
600,powder,7,0,20,100,1,1
601,geomancy,18,0,10,100,0,1
602,magnetic-flux,13,0,20,100,0,1
603,happy-hour,1,0,30,100,0,1
604,electric-terrain,13,0,10,100,0,1
605,dazzling-gleam,18,80,10,100,0,3
606,celebrate,1,0,40,100,0,1
607,hold-hands,1,0,40,100,0,1
608,baby-doll-eyes,18,0,30,100,1,1
609,nuzzle,13,20,20,100,0,2
610,hold-back,1,40,40,100,0,2
611,infestation,7,20,20,100,0,3
612,power-up-punch,2,40,20,100,0,2
613,oblivion-wing,3,80,10,100,0,3
614,thousand-arrows,5,90,10,100,0,2
615,thousand-waves,5,90,10,100,0,2
616,lands-wrath,5,90,10,100,0,2
617,light-of-ruin,18,140,5,90,0,3
618,origin-pulse,11,110,10,85,0,3
619,precipice-blades,5,120,10,85,0,2
620,dragon-ascent,3,120,5,100,0,2
621,hyperspace-fury,17,100,5,100,0,2
622,breakneck-blitz--physical,1,0,1,100,0,2
623,breakneck-blitz--special,1,0,1,100,0,3
624,all-out-pummeling--physical,2,0,1,100,0,2
625,all-out-pummeling--special,2,0,1,100,0,3
626,supersonic-skystrike--physical,3,0,1,100,0,2
627,supersonic-skystrike--special,3,0,1,100,0,3
628,acid-downpour--physical,4,0,1,100,0,2
629,acid-downpour--special,4,0,1,100,0,3
630,tectonic-rage--physical,5,0,1,100,0,2
631,tectonic-rage--special,5,0,1,100,0,3
632,continental-crush--physical,6,0,1,100,0,2
633,continental-crush--special,6,0,1,100,0,3
634,savage-spin-out--physical,7,0,1,100,0,2
635,savage-spin-out--special,7,0,1,100,0,3
636,never-ending-nightmare--physical,8,0,1,100,0,2
637,never-ending-nightmare--special,8,0,1,100,0,3
638,corkscrew-crash--physical,9,0,1,100,0,2
639,corkscrew-crash--special,9,0,1,100,0,3
640,inferno-overdrive--physical,10,0,1,100,0,2
641,inferno-overdrive--special,10,0,1,100,0,3
642,hydro-vortex--physical,11,0,1,100,0,2
643,hydro-vortex--special,11,0,1,100,0,3
644,bloom-doom--physical,12,0,1,100,0,2
645,bloom-doom--special,12,0,1,100,0,3
646,gigavolt-havoc--physical,13,0,1,100,0,2
647,gigavolt-havoc--special,13,0,1,100,0,3
648,shattered-psyche--physical,14,0,1,100,0,2
649,shattered-psyche--special,14,0,1,100,0,3
650,subzero-slammer--physical,15,0,1,100,0,2
651,subzero-slammer--special,15,0,1,100,0,3
652,devastating-drake--physical,16,0,1,100,0,2
653,devastating-drake--special,16,0,1,100,0,3
654,black-hole-eclipse--physical,17,0,1,100,0,2
655,black-hole-eclipse--special,17,0,1,100,0,3
656,twinkle-tackle--physical,18,0,1,100,0,2
657,twinkle-tackle--special,18,0,1,100,0,3
658,catastropika,13,210,1,100,0,2
659,shore-up,5,0,10,100,0,1
660,first-impression,7,90,10,100,2,2
661,baneful-bunker,4,0,10,100,4,1
662,spirit-shackle,8,80,10,100,0,2
663,darkest-lariat,17,85,10,100,0,2
664,sparkling-aria,11,90,10,100,0,3
665,ice-hammer,15,100,10,90,0,2
666,floral-healing,18,0,10,100,0,1
667,high-horsepower,5,95,10,95,0,2
668,strength-sap,12,0,10,100,0,1
669,solar-blade,12,125,10,100,0,2
670,leafage,12,40,40,100,0,2
671,spotlight,1,0,15,100,3,1
672,toxic-thread,4,0,20,100,0,1
673,laser-focus,1,0,30,100,0,1
674,gear-up,9,0,20,100,0,1
675,throat-chop,17,80,15,100,0,2
676,pollen-puff,7,90,15,100,0,3
677,anchor-shot,9,80,20,100,0,2
678,psychic-terrain,14,0,10,100,0,1
679,lunge,7,80,15,100,0,2
680,fire-lash,10,80,15,100,0,2
681,power-trip,17,20,10,100,0,2
682,burn-up,10,130,5,100,0,3
683,speed-swap,14,0,10,100,0,1
684,smart-strike,9,70,10,100,0,2
685,purify,4,0,20,100,0,1
686,revelation-dance,1,90,15,100,0,3
687,core-enforcer,16,100,10,100,0,3
688,trop-kick,12,70,15,100,0,2
689,instruct,14,0,15,100,0,1
690,beak-blast,3,100,15,100,-3,2
691,clanging-scales,16,110,5,100,0,3
692,dragon-hammer,16,90,15,100,0,2
693,brutal-swing,17,60,20,100,0,2
694,aurora-veil,15,0,20,100,0,1
695,sinister-arrow-raid,8,180,1,100,0,2
696,malicious-moonsault,17,180,1,100,0,2
697,oceanic-operetta,11,195,1,100,0,3
698,guardian-of-alola,18,0,1,100,0,3
699,soul-stealing-7-star-strike,8,195,1,100,0,2
700,stoked-sparksurfer,13,175,1,100,0,3
701,pulverizing-pancake,1,210,1,100,0,2
